the,744
a,213
of,132
to,123
and,118
in,87
is,81
was,67
on,59
with,52
it,36
for,35
he,34
from,29
will,29
are,29
his,25
we,21
at,20
were,18
but,18
into,17
that,17
your,16
you,16
they,16
when,15
this,14
by,13
out,12
than,12
be,12
old,12
there,11
high,11
red,11
these,10
fine,10
used,10
small,10
hot,10
strong,10
new,10
green,10
she,10
up,10
wall,10
as,10
down,10
round,9
makes,9
hard,9
her,9
young,9
two,9
before,9
way,9
water,9
thin,9
good,9
blue,8
take,8
no,8
sharp,8
kept,8
him,8
both,8
side,8
dull,8
each,8
most,8
bright,8
best,8
last,8
or,8
gold,8
box,7
us,7
large,7
clear,7
back,7
tea,7
left,7
wide,7
road,7
grass,7
over,7
write,7
more,7
men,7
make,7
brown,7
its,7
brass,7
top,7
made,7
man,7
all,7
now,7
paper,7
night,7
work,6
boy,6
sun,6
get,6
girl,6
tall,6
off,6
hung,6
early,6
ship,6
third,6
fence,6
once,6
store,6
air,6
their,6
cut,6
set,6
floor,6
see,6
along,6
don't,6
three,6
fire,6
leaves,6
wind,6
took,6
have,6
white,6
light,6
had,6
like,6
our,6
horse,6
much,6
takes,6
many,6
well,5
days,5
rare,5
rose,5
straight,5
through,5
pot,5
lack,5
broke,5
came,5
hole,5
coat,5
cat,5
what,5
show,5
next,5
lost,5
first,5
ran,5
mark,5
those,5
words,5
around,5
worn,5
big,5
case,5
door,5
tight,5
deep,5
ten,5
add,5
right,5
less,5
can,5
just,5
desk,5
day,5
not,5
fell,5
child,5
dog,5
dry,5
part,5
house,5
do,5
black,5
time,5
cold,5
smell,5
needs,5
pack,5
book,5
sheet,4
dark,4
tell,4
corn,4
spring,4
help,4
soft,4
salt,4
fish,4
full,4
same,4
read,4
home,4
lay,4
stone,4
fast,4
start,4
saw,4
moved,4
sweet,4
struck,4
edge,4
while,4
ink,4
town,4
beat,4
ring,4
thick,4
here,4
street,4
every,4
who,4
friends,4
ripe,4
taste,4
act,4
great,4
under,4
ice,4
low,4
could,4
bring,4
clothes,4
bad,4
stood,4
chair,4
wood,4
paint,4
sound,4
cloth,4
should,4
fun,4
serve,4
fly,4
clean,4
bank,4
some,4
form,4
corner,4
dust,4
end,4
slide,4
needed,4
better,4
come,4
little,4
sentences,4
hold,4
between,4
often,3
served,3
beside,3
steady,3
size,3
catch,3
pink,3
feet,3
flame,3
heat,3
fall,3
breeze,3
across,3
swan,3
far,3
short,3
morning,3
loud,3
note,3
gave,3
bell,3
joy,3
torn,3
week,3
square,3
seven,3
failed,3
mouse,3
march,3
cup,3
near,3
pencil,3
clock,3
drifts,3
china,3
leave,3
sand,3
stain,3
dried,3
without,3
pearl,3
fruit,3
hat,3
too,3
tried,3
pie,3
always,3
barn,3
cloud,3
quite,3
